Phylum/broader classification,Order,Family,Genera,Species,LTU,Cruise Number,Date,Site,Tow Type,Tow #,Net #,Sample #,n,Label,Start Depth,End Depth,Depth Filtered,Volume Filtered,Corrected Volume Filtered,"Volume Filtered/10,000m3","n/10,000 m3","n/10,000m2",Mass (g),Mass Correction Factor,Corrected Mass (g),"g/10,000 m3","g/10,000m2",ETP Endemic?,Preservative,Broad Classification,Micronekton?,Jar Size,Comments
Arthropoda,Decapoda,Sergestoidea,Sergestes,armatus,Sergestes armatus,DG5B,2021-03-24,PRZ,Night,S5,5,353,1,DG5B_M10_S5_5_353_Sergestes armatus,71.1,1.8,69.3,22003.5,12224.16667,1.222416667,0.818051674,56.69098098,0.14,1.38,0.20,0.159948924,11.08446046,,,Crustacea,Yes,,
Chordata,Anguilliformes,Leptocephalus,Elopomorpha,fam. gen. sp. lv.,Elopomorpha fam. gen. sp. lv.,DG5B,2021-03-24,PRZ,Night,S5,5,354,1,DG5B_M10_S5_5_354_Elopomorpha fam. gen. sp. lv.,71.1,1.8,69.3,22003.5,12224.16667,1.222416667,0.818051674,56.69098098,6.21,4.18,25.98,21.25256924,1472.803049,CD,,Fish,Yes,,
Arthropoda,Amphipoda,,Amphipoda,fam. gen. sp.,Amphipoda fam. gen. sp.,DG5B,2021-03-27,PRZ,Day,S6,5,418,1,DG5B_M10_S6_5_418_Amphipoda fam. gen. sp.,71.1,1.5,69.6,13835.7,7686.5,0.76865,1.300982242,90.54836401,0.30,1.00,0.30,0.390294672,27.1645092,,ETOH 100,Crustacea,YN,VIAL,Internal label has wrong net #
Mollusca,,,Squid,fam. gen. sp. juv.,Squid fam. gen. sp. juv.,DG5B,2021-03-27,PRZ,Day,S6,5,419,8,DG5B_M10_S6_5_419_Squid fam. gen. sp. juv.,71.1,1.5,69.6,13835.7,7686.5,0.76865,10.40785793,724.3869121,0.13,1.00,0.13,0.169127691,11.77128732,,10% formalin,Cephalopoda,Will be,,
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-27,PRZ,Day,S6,5,419,2,DG5B_M10_S6_5_419_Sergestidae gen. sp. juv.,71.1,1.5,69.6,13835.7,7686.5,0.76865,2.601964483,181.096728,0.12,5.09,0.61,0.794345904,55.28647495,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-03-27,PRZ,Day,S6,5,419,1,DG5B_M10_S6_5_419_Euphausiid lobedeye,71.1,1.5,69.6,13835.7,7686.5,0.76865,1.300982242,90.54836401,0.14,1.00,0.14,0.182137514,12.67677096,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-03-27,PRZ,Day,S6,5,419,4,DG5B_M10_S6_5_419_Euphausiid roundeye,71.1,1.5,69.6,13835.7,7686.5,0.76865,5.203928966,362.1934561,0.04,1.00,0.04,0.05203929,3.621934561,,,Euphausiid,YN,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-03-27,PRZ,Day,S6,5,420,1,DG5B_M10_S6_5_420_Cyclothone sp.,71.1,1.5,69.6,13835.7,7686.5,0.76865,1.300982242,90.54836401,0.12,2.18,0.26,0.34004596,23.66719884,CD,,Fish,Yes,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-27,PRZ,Day,S6,5,421,2,DG5B_M10_S6_5_421_Osteichthyes fam. gen. sp. juv.,71.1,1.5,69.6,13835.7,7686.5,0.76865,2.601964483,181.096728,0.10,1.00,0.10,0.130098224,9.054836401,CD,ETOH 100,Fish,Will be,SCINT,Internal label has wrong net #; same jar as #422
Chordata,Anguilliformes,Leptocephalus,Elopomorpha,fam. gen. sp. lv.,Elopomorpha fam. gen. sp. lv.,DG5B,2021-03-27,PRZ,Day,S6,5,422,1,DG5B_M10_S6_5_422_Elopomorpha fam. gen. sp. lv.,71.1,1.5,69.6,13835.7,7686.5,0.76865,1.300982242,90.54836401,0.25,4.18,1.05,1.360662699,94.70212387,CD,,Fish,Yes,,
Mollusca,Octopoda,Argonauta,Argonauta,stet.,Argonauta stet.,DG5B,2021-03-31,CTA,Night,S7,5,480,2,DG5B_M10_S7_5_480_Argonauta stet.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,1.049299593,84.25875728,2.10,1.00,2.10,1.101764572,88.47169514,,ETOH 100,Cephalopoda,Yes,SCINT,
Chordata,Myctophiformes,Myctophidae,Diaphus,pacificus,Diaphus pacificus,DG5B,2021-03-31,CTA,Night,S7,5,481,1,DG5B_M10_S7_5_481_Diaphus pacificus,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,0.03,1.67,0.05,0.026276751,2.110023094,Yes,ETOH 100,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diaphus,pacificus?,Diaphus pacificus?,DG5B,2021-03-31,CTA,Night,S7,5,481,1,DG5B_M10_S7_5_481_Diaphus pacificus?,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,0.02,1.67,0.03,0.017517834,1.406682062,Yes,ETOH 100,Fish,Yes,,Juvenile
Chordata,Myctophiformes,Myctophidae,Diaphus,anderseni,Diaphus anderseni,DG5B,2021-03-31,CTA,Night,S7,5,481,1,DG5B_M10_S7_5_481_Diaphus anderseni,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,1.56,1.67,2.60,1.366391044,109.7212009,No,ETOH 100,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diogenicthys,laternatus,Diogenicthys laternatus,DG5B,2021-03-31,CTA,Night,S7,5,481,10,DG5B_M10_S7_5_481_Diogenicthys laternatus,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,5.246497963,421.2937864,0.37,1.67,0.62,0.324079927,26.02361816,Yes,ETOH 100,Fish,Yes,,2 are beat up but look like laternatus and are included in count
Chordata,Myctophiformes,Myctophidae,Symbolophorous,cf. reversus,Symbolophorous cf. reversus,DG5B,2021-03-31,CTA,Night,S7,5,481,2,DG5B_M10_S7_5_481_Symbolophorous cf. reversus,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,1.049299593,84.25875728,1.23,1.67,2.05,1.077346785,86.51094684,Maybe,ETOH 100,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Symbolophorous,reversus,Symbolophorous reversus,DG5B,2021-03-31,CTA,Night,S7,5,481,1,DG5B_M10_S7_5_481_Symbolophorous reversus,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,0.66,1.67,1.10,0.578088519,46.42050806,Yes,ETOH 100,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-03-31,CTA,Night,S7,5,482,1,DG5B_M10_S7_5_482_Cyclothone acclinidens,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,25.01,2.18,54.48,28.58039362,2295.005607,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-03-31,CTA,Night,S7,5,482,1,DG5B_M10_S7_5_482_Cyclothone sp.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,25.10,2.18,54.67,28.68324189,2303.264324,CD,,Fish,Yes,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-31,CTA,Night,S7,5,484,5,DG5B_M10_S7_5_484_Osteichthyes fam. gen. sp. juv.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,2.623248981,210.6468932,1.50,1.00,1.50,0.786974694,63.19406796,CD,ETOH 100,Fish,Will be,SCINT,
Mollusca,Oegopsina,Squid,Squid,stet.,Squid stet.,DG5B,2021-03-31,CTA,Night,S7,5,485,1,DG5B_M10_S7_5_485_Squid stet.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,0.30,1.00,0.30,0.157394939,12.63881359,,ETOH 100,Cephalopoda,Yes,SCINT,
Arthropoda,Amphipoda,,Phronima,sp.,Phronima sp.,DG5B,2021-03-31,CTA,Night,S7,5,486,1,DG5B_M10_S7_5_486_Phronima sp.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,0.30,1.00,0.30,0.157394939,12.63881359,,ETOH 100,Crustacea,YN,SCINT,
Chordata,Stomiiformes,Phosichthyidae,Vinciguerria,lucetia,Vinciguerria lucetia,DG5B,2021-03-31,CTA,Night,S7,5,487,1,DG5B_M10_S7_5_487_Vinciguerria lucetia,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,0.524649796,42.12937864,0.42,1.81,0.76,0.399259198,32.06051363,OMZ,ETOH 100,Fish,Yes,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-31,CTA,Night,S7,5,489,2,DG5B_M10_S7_5_489_Osteichthyes fam. gen. sp. juv.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,1.049299593,84.25875728,0.40,1.00,0.40,0.209859919,16.85175146,CD,ETOH 100,Fish,Will be,SCINT,
Mollusca,,,Squid,fam. gen. sp. juv.,Squid fam. gen. sp. juv.,DG5B,2021-03-31,CTA,Night,S7,5,490,21,DG5B_M10_S7_5_490_Squid fam. gen. sp. juv.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,11.01764572,884.7169514,1.36,1.00,1.36,0.713523723,57.29595495,,10% formalin,Cephalopoda,Will be,,
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-31,CTA,Night,S7,5,490,210,DG5B_M10_S7_5_490_Sergestidae gen. sp. juv.,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,110.1764572,8847.169514,4.75,5.09,24.17,12.68002659,1018.206135,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-03-31,CTA,Night,S7,5,490,6,DG5B_M10_S7_5_490_Euphausiid lobedeye,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,3.147898778,252.7762718,0.28,1.00,0.28,0.146901943,11.79622602,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-03-31,CTA,Night,S7,5,490,97,DG5B_M10_S7_5_490_Euphausiid roundeye,85.7,5.4,80.3,34308.6,19060.33333,1.906033333,50.89103024,4086.549728,2.43,1.00,2.43,1.274899005,102.3743901,,,Euphausiid,YN,,
Mollusca,,,Squid,fam. gen. sp. juv.,Squid fam. gen. sp. juv.,DG5B,2021-04-02,CTA,Night,S8,5,550,14,DG5B_M10_S8_5_550_Squid fam. gen. sp. juv.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,8.974007428,785.22565,1.09,1.00,1.09,0.698690578,61.13542561,,10% formalin,Cephalopoda,Will be,,
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-04-02,CTA,Night,S8,5,550,478,DG5B_M10_S8_5_550_Sergestidae gen. sp. juv.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,306.3982536,26809.84719,18.44,5.09,93.82,60.14179029,5262.40665,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-04-02,CTA,Night,S8,5,550,10,DG5B_M10_S8_5_550_Euphausiid lobedeye,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,6.410005306,560.8754643,0.28,1.00,0.28,0.179480149,15.704513,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-04-02,CTA,Night,S8,5,550,281,DG5B_M10_S8_5_550_Euphausiid roundeye,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,180.1211491,15760.60055,7.26,1.00,7.26,4.653663852,407.1955871,,,Euphausiid,YN,,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,fasciola,Idiacanthus fasciola,DG5B,2021-04-02,CTA,Night,S8,5,551,1,DG5B_M10_S8_5_551_Idiacanthus fasciola,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.02,2.24,0.04,0.028669121,2.508548049,No,ETOH 100,Fish,Yes,,
Chordata,Stomiiformes,Phosichthyidae,Vinciguerria,sp.,Vinciguerria sp.,DG5B,2021-04-02,CTA,Night,S8,5,552,2,DG5B_M10_S8_5_552_Vinciguerria sp.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,1.282001061,112.1750929,0.30,1.81,0.54,0.348430188,30.48764145,CD,,Fish,Yes,,Were frozen for isotopes
Chordata,Stomiiformes,Phosichthyidae,Vinciguerria,lucetia,Vinciguerria lucetia,DG5B,2021-04-02,CTA,Night,S8,5,552,1,DG5B_M10_S8_5_552_Vinciguerria lucetia,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.74,1.81,1.34,0.859461131,75.20284892,OMZ,ETOH 100,Fish,Yes,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-04-02,CTA,Night,S8,5,554,6,DG5B_M10_S8_5_554_Osteichthyes fam. gen. sp. juv.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,3.846003184,336.5252786,0.25,1.00,0.25,0.160250133,14.02188661,CD,ETOH 100,Fish,Will be,SCINT,
Mollusca,Oegopsina,Squid,Squid,stet.,Squid stet.,DG5B,2021-04-02,CTA,Night,S8,5,555,3,DG5B_M10_S8_5_555_Squid stet.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,1.923001592,168.2626393,0.35,1.00,0.35,0.224350186,19.63064125,,ETOH 100,Cephalopoda,Yes,SCINT,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-04-02,CTA,Night,S8,5,557,2,DG5B_M10_S8_5_557_Cyclothone acclinidens,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,1.282001061,112.1750929,0.22,2.18,0.48,0.307161002,26.87658765,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-04-02,CTA,Night,S8,5,557,3,DG5B_M10_S8_5_557_Cyclothone sp.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,1.923001592,168.2626393,0.09,2.18,0.20,0.125656773,10.99496768,CD,,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diaphus,pacificus,Diaphus pacificus,DG5B,2021-04-02,CTA,Night,S8,5,558,2,DG5B_M10_S8_5_558_Diaphus pacificus,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,1.282001061,112.1750929,0.18,1.67,0.30,0.19262462,16.85465422,Yes,10% formalin,Fish,Yes,,Juveniles with SAO pattern clear
Chordata,Myctophiformes,Myctophidae,Diaphus,cf. pacificus,Diaphus cf. pacificus,DG5B,2021-04-02,CTA,Night,S8,5,558,1,DG5B_M10_S8_5_558_Diaphus cf. pacificus,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.02,1.67,0.03,0.021402736,1.872739358,Yes,10% formalin,Fish,Yes,,Juvenile
Chordata,Myctophiformes,Myctophidae,Diaphus,anderseni,Diaphus anderseni,DG5B,2021-04-02,CTA,Night,S8,5,558,1,DG5B_M10_S8_5_558_Diaphus anderseni,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.03,1.67,0.05,0.032104103,2.809109036,No,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diogenicthys,laternatus,Diogenicthys laternatus,DG5B,2021-04-02,CTA,Night,S8,5,558,4,DG5B_M10_S8_5_558_Diogenicthys laternatus,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,2.564002122,224.3501857,0.48,1.67,0.80,0.513665652,44.94574458,Yes,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Hygophum,proximum,Hygophum proximum,DG5B,2021-04-02,CTA,Night,S8,5,558,1,DG5B_M10_S8_5_558_Hygophum proximum,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.07,1.67,0.12,0.074909574,6.554587751,No,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Myctophum,nitidulum,Myctophum nitidulum,DG5B,2021-04-02,CTA,Night,S8,5,558,1,DG5B_M10_S8_5_558_Myctophum nitidulum,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.09,1.67,0.15,0.09631231,8.427327109,No,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Symbolophorous,cf. reversus,Symbolophorous cf. reversus,DG5B,2021-04-02,CTA,Night,S8,5,558,1,DG5B_M10_S8_5_558_Symbolophorous cf. reversus,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.08,1.67,0.13,0.085610942,7.49095743,CD,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Myctophidae,gen. sp.,Myctophidae gen. sp.,DG5B,2021-04-02,CTA,Night,S8,5,558,1,DG5B_M10_S8_5_558_Myctophidae gen. sp.,87.7,0.2,87.5,28081.1,15600.61111,1.560061111,0.641000531,56.08754643,0.10,1.67,0.17,0.107013678,9.363696788,Maybe,10% formalin,Fish,Yes,,
Chordata,Anguilliformes,Leptocephalus,Elopomorpha,fam. gen. sp. lv.,Elopomorpha fam. gen. sp. lv.,DG5B,2021-04-03,CTA,Night,S9,5,616,2,DG5B_M10_S9_5_616_Elopomorpha fam. gen. sp. lv.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,1.128611557,90.1760634,1.86,4.18,7.78,4.391031412,350.8434098,CD,,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diaphus,pacificus,Diaphus pacificus,DG5B,2021-04-03,CTA,Night,S9,5,617,8,DG5B_M10_S9_5_617_Diaphus pacificus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,4.514446228,360.7042536,1.36,1.67,2.27,1.281251261,102.3719758,Yes,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diaphus,cf. pacificus,Diaphus cf. pacificus,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Diaphus cf. pacificus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.12,1.67,0.20,0.113051582,9.032821391,Yes,10% formalin,Fish,Yes,,VO3 & AO patterns same but SAO1 is not level
Chordata,Myctophiformes,Myctophidae,Diogenicthys,laternatus,Diogenicthys laternatus,DG5B,2021-04-03,CTA,Night,S9,5,617,14,DG5B_M10_S9_5_617_Diogenicthys laternatus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,7.900280899,631.2324438,1.00,1.67,1.67,0.942096516,75.27351159,Yes,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,omostigma,Lampanyctus omostigma,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Lampanyctus omostigma,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.05,1.67,0.08,0.047104826,3.76367558,Yes,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,parvicauda,Lampanyctus parvicauda,DG5B,2021-04-03,CTA,Night,S9,5,617,2,DG5B_M10_S9_5_617_Lampanyctus parvicauda,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,1.128611557,90.1760634,0.13,1.67,0.22,0.122472547,9.785556507,Yes,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Diaphus,sp.,Diaphus sp.,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Diaphus sp.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.03,1.67,0.05,0.028262895,2.258205348,CD,10% formalin,Fish,Yes,,Juvenile with no visible eye photophores
Chordata,Myctophiformes,Myctophidae,Lampanyctus,sp.,Lampanyctus sp.,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Lampanyctus sp.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.06,1.67,0.10,0.056525791,4.516410695,CD,10% formalin,Fish,Yes,,Gut missing
Chordata,Myctophiformes,Myctophidae,Symbolophorous,cf. reversus,Symbolophorous cf. reversus,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Symbolophorous cf. reversus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.05,1.67,0.08,0.047104826,3.76367558,CD,,Fish,Yes,,3 frozen
Chordata,Myctophiformes,Myctophidae,Symbolophorous,reversus,Symbolophorous reversus,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Symbolophorous reversus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,2.56,1.67,4.27,2.41176708,192.7001897,Maybe,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Myctophidae,gen. sp.,Myctophidae gen. sp.,DG5B,2021-04-03,CTA,Night,S9,5,617,1,DG5B_M10_S9_5_617_Myctophidae gen. sp.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,2.29,1.67,3.82,2.157401021,172.3763415,Yes,10% formalin,Fish,Yes,,
Chordata,Stomiiformes,Phosichthyidae,Vinciguerria,lucetia,Vinciguerria lucetia,DG5B,2021-04-03,CTA,Night,S9,5,618,3,DG5B_M10_S9_5_618_Vinciguerria lucetia,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,1.692917335,135.2640951,1.28,1.81,2.32,1.308761765,104.570065,OMZ,10% formalin,Fish,Yes,,
Mollusca,Oegopsina,Squid,Squid,stet.,Squid stet.,DG5B,2021-04-03,CTA,Night,S9,5,619,4,DG5B_M10_S9_5_619_Squid stet.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,2.257223114,180.3521268,1.20,1.00,1.20,0.677166934,54.10563804,,10% formalin,Cephalopoda,Yes,SCINT,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,antrostomus,Idiacanthus antrostomus,DG5B,2021-04-03,CTA,Night,S9,5,620,2,DG5B_M10_S9_5_620_Idiacanthus antrostomus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,1.128611557,90.1760634,0.16,2.24,0.36,0.201911226,16.13270698,No,,Fish,Yes,,
Chordata,Stomiiformes,Stomiidae,Idiacanthus,fasciola,Idiacanthus fasciola,DG5B,2021-04-03,CTA,Night,S9,5,620,4,DG5B_M10_S9_5_620_Idiacanthus fasciola,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,2.257223114,180.3521268,0.22,2.24,0.49,0.277627936,22.18247209,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-04-03,CTA,Night,S9,5,621,1,DG5B_M10_S9_5_621_Cyclothone acclinidens,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.09,2.18,0.20,0.110622129,8.838708104,No,,Fish,Yes,,Just the head
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-04-03,CTA,Night,S9,5,621,2,DG5B_M10_S9_5_621_Cyclothone sp.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,1.128611557,90.1760634,0.13,2.18,0.28,0.15978752,12.76702282,CD,,Fish,Yes,,
Arthropoda,Amphipoda,,Amphipoda,fam. gen. sp.,Amphipoda fam. gen. sp.,DG5B,2021-04-03,CTA,Night,S9,5,622,8,DG5B_M10_S9_5_622_Amphipoda fam. gen. sp.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,4.514446228,360.7042536,1.05,1.00,1.05,0.592521067,47.34243329,,10% formalin,Crustacea,YN,SCINT,
Chordata,Scombriformes,Gempylidae,Nesiarchus,nasutus,Nesiarchus nasutus,DG5B,2021-04-03,CTA,Night,S9,5,623,1,DG5B_M10_S9_5_623_Nesiarchus nasutus,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,0.564305778,45.0880317,0.03,2.42,0.07,0.040957677,3.27251843,No,,Fish,Yes,,
Mollusca,,,Squid,fam. gen. sp. juv.,Squid fam. gen. sp. juv.,DG5B,2021-04-03,CTA,Night,S9,5,624,17,DG5B_M10_S9_5_624_Squid fam. gen. sp. juv.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,9.593198234,766.4965389,2.02,1.00,2.02,1.139897673,91.07782404,,10% formalin,Cephalopoda,Will be,,
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-04-03,CTA,Night,S9,5,624,646,DG5B_M10_S9_5_624_Sergestidae gen. sp. juv.,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,364.5415329,29126.86848,29.76,5.09,151.42,85.44850535,6827.335578,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-04-03,CTA,Night,S9,5,624,8,DG5B_M10_S9_5_624_Euphausiid lobedeye,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,4.514446228,360.7042536,0.15,1.00,0.15,0.084645867,6.763204755,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-04-03,CTA,Night,S9,5,624,232,DG5B_M10_S9_5_624_Euphausiid roundeye,82.8,2.9,79.9,31897.6,17720.88889,1.772088889,130.9189406,10460.42335,6.10,1.00,6.10,3.442265249,275.0369934,,,Euphausiid,YN,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-04-07,CTA,Day,S10,5,684,2,DG5B_M10_S10_5_684_Osteichthyes fam. gen. sp. juv.,70.4,8,62.4,20168.4,11204.66667,1.120466667,1.784970548,111.3821622,,1.00,0.00,0,0,CD,10% formalin,Fish,Will be,Not preserved,alive; released back
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-04-07,CTA,Day,S10,5,688,3,DG5B_M10_S10_5_688_Cyclothone sp.,70.4,8,62.4,20168.4,11204.66667,1.120466667,2.677455822,167.0732433,0.15,2.18,0.33,0.291593154,18.19541281,CD,,Fish,Yes,,
Mollusca,Oegopsina,Squid,Squid,stet.,Squid stet.,DG5B,2021-04-07,CTA,Day,S10,5,689,2,DG5B_M10_S10_5_689_Squid stet.,70.4,8,62.4,20168.4,11204.66667,1.120466667,1.784970548,111.3821622,0.40,1.00,0.40,0.35699411,22.27643244,,10% formalin,Cephalopoda,Yes,SCINT,
